match_id,utc_date,competition_code,stage,group_name,home_team,away_team,dynamic_status,selector_status,selected_market,selected_prediction,selected_confidence,risk_level,unavailable_reason,abstention_reason,1x2_prediction,1x2_max_probability,1x2_prob_team_a_win,1x2_prob_draw,1x2_prob_team_b_win,over_1_5_prediction,over_1_5_prob_yes,over_2_5_prediction,over_2_5_max_probability,btts_prediction,btts_prob_no,double_chance_excluded_outcome,double_chance_excluded_probability,double_chance_gap_to_threshold
537403,2026-06-17T17:00:00Z,WC,GROUP_STAGE,GROUP_K,Portugal,Congo DR,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.444901,0.24954,0.444901,0.30556,NO,0.498327,NO,0.576332,NO,0.553029,TEAM_A_WIN,0.24954,0.09954
537409,2026-06-17T20:00:00Z,WC,GROUP_STAGE,GROUP_L,England,Croatia,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.429652,0.272846,0.429652,0.297502,NO,0.484363,NO,0.537236,YES,0.363319,TEAM_A_WIN,0.272846,0.122846
537410,2026-06-17T23:00:00Z,WC,GROUP_STAGE,GROUP_L,Ghana,Panama,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.425234,0.213338,0.425234,0.361428,NO,0.393949,NO,0.600846,YES,0.452886,TEAM_A_WIN,0.213338,0.063338
537404,2026-06-18T02:00:00Z,WC,GROUP_STAGE,GROUP_K,Uzbekistan,Colombia,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_A_WIN,0.362311,0.362311,0.343555,0.294134,NO,0.487714,NO,0.571061,YES,0.470681,TEAM_B_WIN,0.294134,0.144134
537329,2026-06-18T16:00:00Z,WC,GROUP_STAGE,GROUP_A,Czechia,South Africa,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.370923,0.263279,0.370923,0.365798,NO,0.48213,YES,0.516288,YES,0.370336,TEAM_A_WIN,0.263279,0.113279
537335,2026-06-18T19:00:00Z,WC,GROUP_STAGE,GROUP_B,Switzerland,Bosnia-Herzegovina,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_A_WIN,0.405442,0.405442,0.360737,0.233821,YES,0.523627,NO,0.530912,NO,0.514356,TEAM_B_WIN,0.233821,0.083821
537336,2026-06-18T22:00:00Z,WC,GROUP_STAGE,GROUP_B,Canada,Qatar,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 sous seuil 0.76 | OVER_1_5 YES sous seuil 0.78 | OVER_2_5 sous seuil 0.70 | BTTS NO sous seuil 0.75 | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,TEAM_A_WIN,0.47388,0.47388,0.358996,0.167125,YES,0.538604,NO,0.526845,NO,0.533121,TEAM_B_WIN,0.167125,0.017125
537330,2026-06-19T01:00:00Z,WC,GROUP_STAGE,GROUP_A,Mexico,South Korea,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.480699,0.287218,0.480699,0.232083,NO,0.368527,NO,0.601123,YES,0.487393,TEAM_B_WIN,0.232083,0.082083
537348,2026-06-19T19:00:00Z,WC,GROUP_STAGE,GROUP_D,United States,Australia,computed,ABSTAIN,ABSTAIN,ABSTAIN,,none,,STRICT_1X2 refuse car prediction DRAW | OVER_1_5 refuse car prediction NO | OVER_2_5 sous seuil 0.70 | BTTS refuse car prediction YES | DOUBLE_CHANCE au-dessus du seuil exclu 0.15,DRAW,0.472925,0.24205,0.472925,0.285025,NO,0.3546,NO,0.621766,YES,0.482305,TEAM_A_WIN,0.24205,0.09205
537342,2026-06-19T22:00:00Z,WC,GROUP_STAGE,GROUP_C,Scotland,Morocco,computed,RECOMMEND,DOUBLE_CHANCE,DRAW_OR_TEAM_B,0.895896,low,,,TEAM_B_WIN,0.533227,0.104104,0.362669,0.533227,NO,0.477871,NO,0.550244,YES,0.375365,TEAM_A_WIN,0.104104,-0.045896
